제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
메르세데스벤츠코리아(주),Mercedes-AMG GT 43 4MATIC+ Coupe,2018-08-06,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG CLS 53 4MATIC+ Coupe,2018-04-05,2021-01-21,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),CLS 450 4MATIC Coupe,2018-02-23,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),CLS 400 d 4MATIC Coupe,2017-11-06,2019-10-02,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),CLS 300 d 4MATIC Coupe,2020-07-21,2020-12-14,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),CLS 300 d Coupe,2018-02-20,2020-07-06,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLC 63 4MATIC+,2017-12-11,2018-11-23,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 300 4MATIC,2019-02-06,2021-01-12,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLC 43 4MATIC,2017-06-11,2021-01-18,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 350 e 4MATIC,2017-03-09,2019-06-12,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 300 e 4MATIC,2019-05-15,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 300 4MATIC,2017-11-02,2019-07-12,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 300 d 4MATIC,2018-09-04,2019-02-19,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 220 d 4MATIC Sports,2019-02-04,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 250 d 4MATIC,2017-02-11,2018-06-06,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,2017-05-31,2018-10-04,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLC 63 S 4MATIC+ Coupe,2017-10-05,2020-08-28,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 300 4MATIC Coupe,2019-03-15,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLC 43 4MATIC Coupe,2017-08-04,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLC 300 e 4MATIC Coupe,2018-12-18,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 300 4MATIC Cabriolet,2019-03-27,2019-09-12,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 300 Cabriolet,2018-07-27,2018-07-27,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 Cabriolet,2018-07-27,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG C 43 4MATIC Cabriolet,2017-03-13,2019-01-11,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 Cabriolet,2017-05-30,2018-06-03,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG C 63 S Coupe,2017-05-31,2021-01-27,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG C 63 Coupe,2017-06-08,2018-07-25,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 300 4MATIC Coupe,2019-03-20,2019-09-11,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 300 Coupe,2018-07-27,2018-07-27,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 Coupe,2018-07-27,2021-01-28,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG C 43 4MATIC Coupe,2017-03-08,2021-01-25,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 Coupe,2017-09-18,2018-06-04,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d 4MATIC Coupe,2018-08-06,2019-07-22,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d Coupe,2017-09-15,2018-05-09,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d Coupe,2017-02-01,2017-02-01,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG C 63,2017-04-27,2019-08-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 300,2018-03-06,2018-08-24,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200,2018-03-29,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 4MATIC,2018-03-20,2018-07-10,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG C 43 4MATIC,2017-06-02,2020-07-28,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 300 e 4MATIC,2019-09-30,2020-09-15,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 350 e,2017-02-27,2018-08-24,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 4MATIC,2017-06-19,2018-04-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200,2017-03-08,2018-05-09,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 d,2017-05-31,2018-03-10,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d 4MATIC,2017-12-15,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d,2017-12-22,2019-07-08,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 250 d 4MATIC,2017-06-14,2018-03-23,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d 4MATIC,2017-06-01,2018-04-13,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 220 d,2017-05-31,2018-03-22,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),C 200 d,2018-03-01,2018-10-23,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GT C Roadster,2019-09-26,2020-11-06,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GT Coupe,2020-02-24,2020-02-24,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GT R Coupe,2018-08-06,2021-01-12,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GT S Coupe,2017-07-15,2018-11-19,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GT Coupe,2018-08-14,2020-07-08,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG A 35 4MATIC,2019-08-09,2020-11-05,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),A 250 4MATIC,2018-12-13,2020-12-03,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),A 250,2018-10-31,2020-03-06,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),A 220,2018-12-06,2021-01-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),A 200 d,2019-05-14,2021-01-14,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG A 45 4MATIC,2019-04-25,2021-01-18,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),A 250,2017-10-18,2018-07-25,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),A 220 Hatch,2018-07-27,2021-01-14,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-Maybach GLS 600 4MATIC,2020-05-08,2020-12-12,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLS 580 4MATIC,2019-06-24,2021-01-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLS 400 d 4MATIC,2019-01-14,2021-01-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLS 350 d 4MATIC,2018-12-10,2018-12-10,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLE 63 S 4MATIC+ Coupe,2019-11-04,2021-01-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLE 53 4MATIC+ Coupe,2019-11-01,2021-01-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 350 e 4MATIC Coupe,2020-03-25,2021-01-08,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 400 d 4MATIC Coupe,2019-07-23,2021-01-26,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 350 d 4MATIC Coupe,2019-05-03,2019-10-04,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG GLE 53 4MATIC+,2019-10-15,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 450 4MATIC,2018-08-01,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 350 e 4MATIC,2020-03-27,2021-01-26,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2018-02-23,2019-11-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2018-07-12,2021-01-29,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2021-01-27,2021-01-27,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG CLA 45 S 4MATIC Coupe,2019-04-29,2021-01-20,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),CLA 250 4MATIC Coupe,2019-02-22,2021-01-31,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
메르세데스벤츠코리아(주),CLA 250 Coupe,2018-10-17,2018-10-17,2021-03-01,"비상 통신 시스템(eCall)을 위한 통신 모듈 소프트웨어가 사양에 맞지 않을 수 있습니다. 차량 충돌로 인해 통신 모듈의 전원 공급이 일시적으로 중단된 경우, 차량 위치가 잘못 전송 될 수 있습니다."
